Date, Price, Ret, RV
12/17/08,-0.005025136,0.000132134,833.7
12/18/08,0.000239866,4.2547E-05,833.9
12/19/08,-0.016809151,0.000306205,820
12/22/08,0.000365787,8.28541E-05,820.3
12/23/08,0.031794412,9.69642E-05,846.8
12/29/08,0.024496734,5.72756E-05,867.8
12/30/08,-0.011706885,0.000111616,857.7
1/2/09,0.01435376,2.18452E-05,870.1
1/5/09,0.015848915,6.85883E-05,884
1/6/09,0.022925242,0.00012537,904.5
1/7/09,-0.028028741,9.06686E-05,879.5
1/8/09,-0.008220163,0.000115339,872.3
1/9/09,0.005145515,0.000154449,876.8
1/12/09,-0.002969734,4.49255E-05,874.2
1/13/09,-0.015098541,6.45344E-05,861.1
1/14/09,-0.027073217,8.51222E-05,838.1
1/15/09,-0.00850763,0.000122233,831
1/16/09,0.013150219,6.45455E-05,842
1/19/09,-0.028795436,0.00012559,818.1
1/20/09,-0.024750676,0.000123935,798.1
1/21/09,-0.017187331,0.000215157,784.5
1/22/09,-0.021387056,0.000190368,767.9
1/23/09,-0.021721383,0.000133963,751.4
1/26/09,0.021200346,0.000205434,767.5
1/27/09,0.002082521,0.000121561,769.1
1/28/09,0.022880175,8.53997E-05,786.9
1/29/09,-0.007654075,0.000121267,780.9
1/30/09,-0.008616863,0.000147092,774.2
2/2/09,-0.014703277,3.55487E-05,762.9
2/3/09,-0.013593083,0.000147617,752.6
2/4/09,-0.003994147,0.000150639,749.6
2/5/09,-0.028414846,0.000100747,728.6
2/6/09,0.006702713,0.000144823,733.5
2/9/09,0.036017013,0.000130628,760.4
2/10/09,-0.011773401,5.02192E-05,751.5
2/11/09,-0.015150789,0.000115855,740.2
2/12/09,-0.019232674,0.000103859,726.1
2/13/09,-0.002482075,6.85139E-05,724.3
2/16/09,-0.035841093,0.000134535,698.8
2/17/09,-0.074548384,0.000491702,648.6
2/18/09,-0.031639287,0.000919576,628.4
2/19/09,0.044354894,0.000335531,656.9
2/20/09,-0.013949793,0.000308243,647.8
2/23/09,-0.001081165,0.000265305,647.1
2/24/09,-0.004646849,0.000169496,644.1
2/25/09,-0.00326569,0.000199754,642
2/26/09,0.00124533,0.000110925,642.8
2/27/09,-0.003896817,0.000170289,640.3
3/2/09,-0.006738253,0.00019649,636
3/3/09,-0.006942281,9.33279E-05,631.6
3/4/09,0.023162225,8.11003E-05,646.4
3/5/09,-0.009950331,0.000109234,640
3/6/09,0.005609239,9.5465E-05,643.6
3/9/09,-0.004516086,0.00011299,640.7
3/10/09,0.030587184,0.000100841,660.6
3/11/09,0.02186043,0.000129662,675.2
3/12/09,0.001036193,0.000130899,675.9
3/13/09,0.024407496,9.68159E-05,692.6
3/16/09,0.001875226,8.5767E-05,693.9
3/17/09,-0.000288268,0.000106817,693.7
3/18/09,0.018425145,9.04094E-05,706.6
3/19/09,0.049558136,0.000236245,742.5
3/20/09,-0.017526432,0.000130544,729.6
3/23/09,0.046987161,5.86623E-05,764.7
3/24/09,0.018399068,0.000227839,778.9
3/25/09,0.034697229,0.000215485,806.4
3/26/09,0.00321902,0.000159484,809
3/27/09,-0.025032596,0.00010385,789
3/30/09,-0.057382102,0.000179387,745
3/31/09,0.006422286,0.000147802,749.8
4/1/09,0.003461593,0.000162797,752.4
4/2/09,0.06384051,0.000163685,802
4/3/09,0.025847593,0.000163205,823
4/6/09,-0.013579021,0.000156653,811.9
4/7/09,-0.026458551,8.21023E-05,790.7
4/8/09,0.027935474,0.000158995,813.1
4/9/09,0.036231472,0.000158342,843.1
4/14/09,0.003788332,0.000124055,846.3
4/15/09,-0.006520087,0.00011885,840.8
4/16/09,0.006283736,0.000110018,846.1
4/17/09,-0.000472869,0.000126358,845.7
4/20/09,-0.02175558,0.000134417,827.5
4/21/09,-0.017186114,9.87652E-05,813.4
4/22/09,0.011125489,0.000119669,822.5
4/23/09,0.002428659,6.88115E-05,824.5
4/24/09,0.009896291,2.13098E-05,832.7
4/27/09,-0.011960275,9.87439E-05,822.8
4/28/09,-0.004751182,8.36246E-05,818.9
4/29/09,0.033856775,6.78774E-05,847.1
4/30/09,0.036624791,0.000142706,878.7
5/4/09,0.025949223,7.00093E-05,901.8
5/5/09,0.036260709,0.000163518,935.1
5/6/09,0.017806512,0.000192457,951.9
5/7/09,0.031945653,7.4188E-05,982.8
5/11/09,-0.020248392,0.000210743,963.1
5/12/09,0.01371509,9.84132E-05,976.4
5/13/09,-0.072297618,0.000393116,908.3
5/14/09,-0.021365005,0.000190097,889.1
5/15/09,0.016619645,0.000106579,904
5/18/09,-0.005101486,0.000164271,899.4
5/19/09,0.019161472,9.1125E-05,916.8
5/20/09,0.023286951,0.000103798,938.4
5/21/09,-0.005449605,5.22535E-05,933.3
5/22/09,-0.009257332,6.79726E-05,924.7
5/25/09,0.005930256,4.85521E-05,930.2
5/26/09,-0.017897327,9.51006E-05,913.7
5/27/09,0.002841532,4.25534E-05,916.3
5/28/09,-0.007558781,4.38871E-05,909.4
5/29/09,-0.018758528,0.000153679,892.5
6/1/09,0.02544385,3.69061E-05,915.5
6/2/09,0.005446637,3.97967E-05,920.5
6/3/09,0.007036565,3.63578E-05,927
6/4/09,-0.003457968,4.61524E-05,923.8
6/5/09,0.025225792,5.31086E-05,947.4
6/8/09,-0.011785453,2.02768E-05,936.3
6/9/09,0.013788933,1.26489E-05,949.3
6/10/09,0.017852956,2.83339E-05,966.4
6/11/09,-0.006019738,3.55484E-05,960.6
6/12/09,-0.006894418,3.58404E-05,954
6/15/09,-0.012870734,2.36431E-05,941.8
6/16/09,-0.00361664,8.32228E-05,938.4
6/17/09,-0.017848017,7.94556E-05,921.8
6/18/09,0.001192606,4.87076E-05,922.9
6/19/09,0.003029322,2.61161E-05,925.7
6/22/09,-0.022946811,7.62912E-05,904.7
6/23/09,-0.02099932,7.19704E-05,885.9
6/24/09,0.020557086,7.12088E-05,904.3
6/25/09,-0.009667279,9.6314E-05,895.6
6/26/09,0.000781294,3.32591E-05,896.3
6/29/09,-0.001786712,5.32327E-05,894.7
6/30/09,0.00568405,2.29762E-05,899.8
7/1/09,-0.000333463,4.57944E-05,899.5
7/2/09,-0.01681654,5.16594E-05,884.5
7/3/09,-0.005668949,7.36969E-05,879.5
7/7/09,0.002611709,4.34619E-05,881.8
7/8/09,0.006217871,3.15402E-05,887.3
7/9/09,0.007634482,7.18978E-05,894.1
7/10/09,-0.001791112,5.29552E-05,892.5
7/13/09,0.013024061,6.84198E-05,904.2
7/14/09,0.024687218,0.00034117,926.8
7/15/09,0.018917894,4.85639E-05,944.5
7/16/09,0.002009626,2.96949E-05,946.4
7/17/09,-0.001268767,4.27989E-05,945.2
7/20/09,0.015328384,3.03523E-05,959.8
7/21/09,0.004470094,4.93186E-05,964.1
7/22/09,-0.005303949,5.76701E-05,959
7/23/09,-0.001356498,3.13829E-05,957.7
7/24/09,0.018723071,6.70705E-05,975.8
7/27/09,0.013841051,1.78325E-05,989.4
7/28/09,0.002120249,6.06398E-05,991.5
7/29/09,0.003925718,6.34846E-05,995.4
7/30/09,0.025980638,5.09689E-05,1021.6
7/31/09,0.035293821,8.30571E-05,1058.3
8/3/09,0.028963239,6.39484E-05,1089.4
8/4/09,0.003939357,9.49572E-05,1093.7
8/5/09,0.023226384,4.27432E-05,1119.4
8/6/09,0.024705686,6.65909E-05,1147.4
8/7/09,-0.006645705,0.000171414,1139.8
8/10/09,0.005162995,8.97745E-05,1145.7
8/11/09,-0.016634047,8.09943E-05,1126.8
8/12/09,-0.00721446,0.000109198,1118.7
8/13/09,0.032538924,9.04115E-05,1155.7
8/14/09,0.010244139,0.000100194,1167.6
8/17/09,-0.0313178,8.12015E-05,1131.6
8/18/09,0.008798227,3.22524E-05,1141.6
8/19/09,-0.018209643,5.69114E-05,1121
8/20/09,0.010294731,3.08963E-05,1132.6
8/21/09,0.004932192,3.28244E-05,1138.2
8/24/09,0.04046347,1.56493E-05,1185.2
8/25/09,0.002780471,6.45338E-05,1188.5
8/26/09,-0.017313511,4.21786E-05,1168.1
8/27/09,0,5.64101E-05,1168.1
8/28/09,0.006995422,3.84944E-05,1176.3
8/31/09,-0.011801061,4.18782E-05,1162.5
9/1/09,0.005319161,4.39425E-05,1168.7
9/2/09,-0.034736898,0.000109588,1128.8
9/3/09,0.005036904,3.75469E-05,1134.5
9/4/09,0.011393638,3.0287E-05,1147.5
9/7/09,0.007639589,3.33571E-05,1156.3
9/8/09,-0.001038332,2.20408E-05,1155.1
9/9/09,0,2.45788E-05,1155.1
9/10/09,-0.005817251,2.40071E-05,1148.4
9/11/09,-0.001568628,3.70124E-05,1146.6
9/14/09,-0.013256855,4.46491E-05,1131.5
9/15/09,0.001677779,4.12255E-05,1133.4
9/16/09,0.014018102,4.2305E-05,1149.4
9/17/09,0.010558298,2.36964E-05,1161.6
9/18/09,-0.006390902,4.40059E-05,1154.2
9/21/09,-0.0112395,2.09505E-05,1141.3
9/22/09,0.017027603,2.47494E-05,1160.9
9/23/09,0.002409018,4.82455E-05,1163.7
9/24/09,-0.004823853,2.54485E-05,1158.1
9/25/09,-0.010066908,2.64309E-05,1146.5
9/29/09,0.002439238,2.72023E-05,1149.3
9/30/09,0.00762767,7.09022E-05,1158.1
10/1/09,-0.002766971,5.11647E-05,1154.9
10/2/09,-0.034173294,0.000115436,1116.1
10/5/09,0.0059851,3.23648E-05,1122.8
10/6/09,0.014325119,2.67192E-05,1139
10/7/09,-0.001581584,3.81852E-05,1137.2
10/8/09,0.000791105,4.44709E-05,1138.1
10/9/09,0.013873963,1.51878E-05,1154
10/12/09,0.021602074,1.8119E-05,1179.2
10/13/09,-0.012887986,4.14117E-05,1164.1
10/14/09,0.010255624,4.72501E-05,1176.1
